date,level,country,lat,long,population,tz,state_abbr
2020-04-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-04-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-05-31,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-19,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-20,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-21,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-22,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-23,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-24,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-25,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-26,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-27,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-28,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-29,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-06-30,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-01,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-02,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-03,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-04,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-05,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-06,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-07,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-08,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-09,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-10,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-11,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-12,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-13,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-14,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-15,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-16,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-17,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
2020-07-18,country,Australia,-25.73,134.49,24511800,Australia/Darwin,Aus
